epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.826,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00333005,0.00333005,0.00333005
2,318.298,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00534403,0.00534403,0.00534403
3,474.98,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00603801,0.00603801,0.00603801
4,630.142,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00406,0.00406,0.00406
5,789.641,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00208,0.00208,0.00208
