epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,498.804,2.86097,4.11143,3.49091,0.00018,0.01332,9e-05,3e-05,4.26598,4555.09,1584.21,0.00328125,0.00328125,0.00328125
2,1015.47,2.18631,3.0609,2.64186,0.11981,0.02492,0.00477,0.00175,3.72609,159.955,10.0474,0.00657093,0.00657093,0.00657093
3,1508.67,1.96404,2.81715,2.40025,0.05721,0.02496,0.00056,0.00014,3.56445,17.3718,4.69804,0.0098166,0.0098166,0.0098166
4,2001.85,1.76916,2.52555,2.17662,0.5875,0.11757,0.02152,0.00866,2.36833,16.09,3.20272,0.009802,0.009802,0.009802
5,2494.54,1.65012,2.33748,2.06701,0.45826,0.10792,0.05633,0.02202,1.99158,8.14079,2.66713,0.009736,0.009736,0.009736
6,2986.68,1.57254,2.1535,1.9848,0.72474,0.05803,0.07495,0.03883,1.90215,6.64435,2.59927,0.00967,0.00967,0.00967
7,3479.39,1.51375,2.07326,1.95727,0.69779,0.14391,0.13148,0.06771,1.66982,4.82054,2.28011,0.009604,0.009604,0.009604
8,3973.43,1.46479,1.94086,1.84758,0.55659,0.1382,0.0477,0.01901,2.4389,12.1625,3.16659,0.009538,0.009538,0.009538
9,4465.3,1.44465,1.91417,1.84341,0.56634,0.27655,0.19983,0.11188,1.46633,2.65609,2.06265,0.009472,0.009472,0.009472
10,4957.28,1.37184,1.77947,1.8201,0.73414,0.15135,0.1734,0.09906,1.51084,3.27651,2.09889,0.009406,0.009406,0.009406
11,5448.7,1.36989,1.77179,1.76971,0.6604,0.23258,0.21298,0.12457,1.43759,2.22518,2.01217,0.00934,0.00934,0.00934
12,5940.6,1.33961,1.74108,1.79476,0.63369,0.23473,0.20763,0.12129,1.36715,2.44297,1.92281,0.009274,0.009274,0.009274
13,6432.19,1.31796,1.675,1.73094,0.77242,0.25251,0.25208,0.15911,1.25564,1.75366,1.80804,0.009208,0.009208,0.009208
14,6924.23,1.28239,1.56565,1.68768,0.64644,0.2478,0.2612,0.16306,1.2277,2.017,1.78513,0.009142,0.009142,0.009142
15,7416.74,1.28568,1.59607,1.69888,0.65461,0.25355,0.23276,0.14468,1.35452,2.35255,1.92727,0.009076,0.009076,0.009076
16,7908.77,1.23078,1.57583,1.64853,0.67349,0.24991,0.25587,0.16284,1.19991,1.81019,1.74839,0.00901,0.00901,0.00901
17,8401.41,1.21687,1.53909,1.64907,0.63778,0.28054,0.29842,0.19365,1.14634,1.58913,1.71365,0.008944,0.008944,0.008944
18,8894.35,1.17942,1.44741,1.61479,0.63916,0.25466,0.26593,0.17348,1.1869,1.64901,1.70738,0.008878,0.008878,0.008878
19,9386.33,1.17735,1.4413,1.63212,0.7347,0.25636,0.27409,0.18048,1.12053,1.91257,1.68181,0.008812,0.008812,0.008812
20,9878.27,1.17446,1.39537,1.60796,0.52048,0.3185,0.34157,0.22738,1.18645,1.7802,1.76653,0.008746,0.008746,0.008746
21,10333.6,1.14056,1.39242,1.58814,0.71615,0.29303,0.30293,0.203,1.0499,1.53848,1.61523,0.00868,0.00868,0.00868
22,10777.8,1.13121,1.32356,1.56513,0.53175,0.38818,0.32767,0.22159,1.04325,1.40488,1.60471,0.008614,0.008614,0.008614
23,11221.6,1.12412,1.34315,1.57156,0.59077,0.35468,0.33702,0.23015,1.06134,1.32064,1.62281,0.008548,0.008548,0.008548
24,11666.3,1.10641,1.30618,1.54448,0.59112,0.35245,0.33959,0.23657,1.0318,1.49708,1.58615,0.008482,0.008482,0.008482
25,12110.6,1.09156,1.28819,1.54482,0.59869,0.354,0.34567,0.23578,1.02236,1.35598,1.57592,0.008416,0.008416,0.008416
26,12554.5,1.08215,1.26614,1.54023,0.75614,0.33806,0.35891,0.24864,0.99543,1.26408,1.53485,0.00835,0.00835,0.00835
27,12999,1.07581,1.27377,1.54119,0.49553,0.38684,0.35589,0.2447,1.00441,1.28486,1.55373,0.008284,0.008284,0.008284
28,13443.2,1.0993,1.28855,1.57268,0.5729,0.37401,0.37294,0.26401,0.97965,1.2263,1.51395,0.008218,0.008218,0.008218
29,13888.4,1.03065,1.2166,1.50224,0.64205,0.3501,0.3718,0.26112,0.99589,1.26088,1.5498,0.008152,0.008152,0.008152
30,14332.6,1.05409,1.2159,1.50071,0.67655,0.38517,0.43091,0.30692,0.97861,1.23482,1.51807,0.008086,0.008086,0.008086
31,14776.6,1.02813,1.21899,1.52476,0.6379,0.33852,0.34276,0.23764,0.9819,1.27317,1.53363,0.00802,0.00802,0.00802
32,15220.5,1.02291,1.15493,1.46171,0.54798,0.3796,0.37865,0.26964,0.95065,1.14405,1.49646,0.007954,0.007954,0.007954
