epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.915,3.34739,5.36322,4.2641,0,0,0,0,2.9744,5.51348,4.14977,0.00330709,0.00330709,0.00330709
2,511.687,3.39766,5.29935,4.19587,0.00088,0.04121,0.00052,0.00013,3.34072,1639.74,17.4798,0.00659659,0.00659659,0.00659659
3,810.303,3.15662,4.83538,3.82852,0.05821,0.07195,0.00328,0.00081,2.89098,418.379,3.98436,0.0098421,0.0098421,0.0098421
4,1052.45,2.58797,3.90604,2.98476,0.15776,0.08434,0.0299,0.01167,2.41913,7.57051,3.05973,0.009802,0.009802,0.009802
5,1304.88,2.16254,3.24914,2.51552,0.22294,0.09046,0.04641,0.02128,2.17527,9.98072,2.73172,0.009736,0.009736,0.009736
6,1547.1,1.9645,2.90559,2.28591,0.3811,0.11481,0.09632,0.04771,1.83725,3.207,2.37554,0.00967,0.00967,0.00967
7,1789.63,1.81195,2.65257,2.11083,0.53867,0.11801,0.10788,0.05482,1.71505,3.16646,2.20785,0.009604,0.009604,0.009604
8,2031.95,1.74036,2.46271,2.01424,0.4526,0.15544,0.12996,0.06988,1.58727,2.72022,2.04291,0.009538,0.009538,0.009538
9,2274.22,1.66286,2.32104,1.94057,0.44058,0.16362,0.15873,0.09026,1.50351,2.53364,1.95101,0.009472,0.009472,0.009472
10,2516.4,1.58394,2.2166,1.87158,0.48543,0.19348,0.1701,0.09941,1.44378,2.58728,1.90861,0.009406,0.009406,0.009406
11,2758.59,1.5732,2.13659,1.8452,0.49036,0.19885,0.16717,0.09615,1.44732,2.35067,1.86829,0.00934,0.00934,0.00934
12,3000.64,1.5322,2.06975,1.79863,0.50583,0.22145,0.19927,0.11164,1.49135,2.30111,1.89637,0.009274,0.009274,0.009274
13,3242.59,1.49169,1.96464,1.76587,0.35331,0.23831,0.20709,0.12547,1.3497,2.04684,1.75338,0.009208,0.009208,0.009208
14,3484.45,1.44785,1.89177,1.70765,0.52641,0.23671,0.22122,0.13465,1.34797,1.9748,1.73355,0.009142,0.009142,0.009142
15,3726.57,1.42978,1.82459,1.66982,0.47258,0.22354,0.21105,0.12753,1.29094,2.23974,1.68802,0.009076,0.009076,0.009076
16,3968.28,1.39381,1.81415,1.67206,0.49192,0.24485,0.23919,0.14513,1.28526,1.77461,1.66973,0.00901,0.00901,0.00901
17,4211.06,1.37324,1.77122,1.64241,0.54208,0.23934,0.23627,0.14565,1.24346,1.74868,1.60791,0.008944,0.008944,0.008944
18,4453.64,1.36177,1.70273,1.61759,0.64956,0.2359,0.23638,0.14782,1.21448,1.68103,1.58146,0.008878,0.008878,0.008878
19,4695.48,1.32176,1.65415,1.57664,0.56259,0.26276,0.25924,0.16551,1.17586,1.58594,1.532,0.008812,0.008812,0.008812
20,4937.31,1.30841,1.61012,1.54373,0.7006,0.25222,0.26805,0.17074,1.15711,1.57995,1.52496,0.008746,0.008746,0.008746
21,5179.19,1.27936,1.5713,1.55162,0.62388,0.25413,0.2592,0.16602,1.14248,1.56935,1.51086,0.00868,0.00868,0.00868
22,5420.98,1.28664,1.57771,1.5481,0.56754,0.27126,0.26725,0.17339,1.15932,1.56398,1.52075,0.008614,0.008614,0.008614
23,5662.75,1.2466,1.55481,1.52526,0.67454,0.26817,0.26844,0.17524,1.13273,1.50065,1.48656,0.008548,0.008548,0.008548
24,5904.66,1.25103,1.51142,1.52676,0.64778,0.28529,0.29146,0.19099,1.09939,1.4317,1.45595,0.008482,0.008482,0.008482
25,6146.82,1.23014,1.51339,1.50555,0.58108,0.28206,0.27648,0.18351,1.08211,1.42236,1.42875,0.008416,0.008416,0.008416
26,6388.65,1.22842,1.47165,1.50351,0.47792,0.34739,0.28254,0.182,1.1099,1.50957,1.47373,0.00835,0.00835,0.00835
27,6630.61,1.23999,1.50033,1.49131,0.4982,0.33289,0.29573,0.19825,1.08082,1.36522,1.4336,0.008284,0.008284,0.008284
28,6872.8,1.21639,1.43205,1.48443,0.60365,0.27235,0.2823,0.19053,1.0578,1.36153,1.41058,0.008218,0.008218,0.008218
29,7114.37,1.20006,1.40247,1.46529,0.53589,0.30676,0.29827,0.20377,1.03271,1.33141,1.39465,0.008152,0.008152,0.008152
30,7356.18,1.16793,1.37985,1.43542,0.54301,0.33244,0.30391,0.20748,1.03013,1.31835,1.39581,0.008086,0.008086,0.008086
31,7598.18,1.18633,1.36951,1.44972,0.50072,0.33777,0.30579,0.20764,1.05138,1.29461,1.40695,0.00802,0.00802,0.00802
32,7840.1,1.17199,1.3354,1.43388,0.48696,0.36732,0.30312,0.20712,1.01087,1.30061,1.36881,0.007954,0.007954,0.007954
33,8081.9,1.14499,1.31929,1.40767,0.47045,0.38203,0.31894,0.2179,1.00767,1.23649,1.36045,0.007888,0.007888,0.007888
34,8324.23,1.14737,1.33778,1.42811,0.5248,0.35476,0.30886,0.21298,0.99252,1.25685,1.34188,0.007822,0.007822,0.007822
35,8565.92,1.14973,1.34174,1.42303,0.68936,0.32226,0.32065,0.22303,0.98798,1.21503,1.33326,0.007756,0.007756,0.007756
36,8807.63,1.13974,1.30068,1.41127,0.60398,0.337,0.3226,0.22243,0.97672,1.20583,1.33484,0.00769,0.00769,0.00769
37,9049.33,1.11805,1.26216,1.38757,0.69735,0.27502,0.38221,0.27092,0.96423,1.18886,1.32329,0.007624,0.007624,0.007624
38,9291.32,1.11198,1.26261,1.39267,0.7164,0.31345,0.33673,0.23617,0.94711,1.13925,1.3045,0.007558,0.007558,0.007558
39,9532.96,1.11332,1.27348,1.39072,0.58989,0.34531,0.33675,0.23363,0.9522,1.15682,1.31449,0.007492,0.007492,0.007492
40,9774.44,1.0906,1.25275,1.38483,0.68823,0.2881,0.32669,0.22459,0.97148,1.24834,1.33462,0.007426,0.007426,0.007426
41,10015.8,1.10354,1.24884,1.38234,0.49094,0.379,0.31807,0.22508,0.93284,1.13387,1.28836,0.00736,0.00736,0.00736
42,10257.5,1.09127,1.2367,1.36658,0.57727,0.35434,0.34452,0.2435,0.92906,1.12544,1.28967,0.007294,0.007294,0.007294
43,10499.2,1.07856,1.23259,1.36149,0.5864,0.34306,0.3444,0.24423,0.91947,1.0767,1.28079,0.007228,0.007228,0.007228
44,10740.7,1.0644,1.19171,1.35568,0.51833,0.37024,0.34897,0.24959,0.90269,1.07965,1.27482,0.007162,0.007162,0.007162
45,10982.3,1.06935,1.19674,1.34508,0.59523,0.33595,0.35535,0.25017,0.90807,1.07905,1.26921,0.007096,0.007096,0.007096
46,11223.9,1.05722,1.18595,1.34848,0.66663,0.30433,0.3453,0.24336,0.91187,1.07675,1.26979,0.00703,0.00703,0.00703
47,11465.5,1.05851,1.17542,1.34173,0.7728,0.3048,0.35898,0.2556,0.89689,1.04914,1.25547,0.006964,0.006964,0.006964
48,11706.9,1.06158,1.19398,1.35069,0.70332,0.32785,0.36865,0.26317,0.88821,1.04553,1.2467,0.006898,0.006898,0.006898
49,11948.5,1.05286,1.14588,1.34251,0.76518,0.31042,0.36147,0.26226,0.87419,1.03268,1.24003,0.006832,0.006832,0.006832
50,12190.2,1.0482,1.15839,1.33768,0.75477,0.31097,0.35694,0.25691,0.88045,1.04251,1.24346,0.006766,0.006766,0.006766
51,12432,1.06642,1.16242,1.35597,0.74399,0.32731,0.41739,0.3052,0.86736,0.99422,1.22977,0.0067,0.0067,0.0067
52,12673.8,1.03444,1.11968,1.33083,0.70371,0.34303,0.37968,0.27338,0.85942,0.99577,1.21947,0.006634,0.006634,0.006634
53,12915.9,1.04744,1.12987,1.33255,0.51371,0.38425,0.36742,0.26402,0.88341,1.00553,1.24199,0.006568,0.006568,0.006568
54,13157.5,1.02176,1.11074,1.31221,0.53466,0.38655,0.37501,0.27064,0.8626,0.97605,1.22079,0.006502,0.006502,0.006502
55,13399.1,1.01194,1.10156,1.29965,0.70595,0.30289,0.37976,0.2725,0.85815,0.99686,1.21944,0.006436,0.006436,0.006436
56,13640.8,1.02438,1.13045,1.32226,0.71544,0.3308,0.39079,0.28262,0.84056,0.95851,1.20517,0.00637,0.00637,0.00637
57,13882.5,1.03387,1.10953,1.30583,0.55036,0.38264,0.38404,0.27807,0.84183,0.95713,1.20794,0.006304,0.006304,0.006304
58,14124,1.01453,1.07546,1.29332,0.70494,0.32402,0.40063,0.29035,0.8391,0.94596,1.20487,0.006238,0.006238,0.006238
59,14365.5,1.01096,1.07468,1.29723,0.72323,0.34218,0.39342,0.28902,0.82988,0.93225,1.19205,0.006172,0.006172,0.006172
60,14607.1,1.00736,1.0922,1.29461,0.70814,0.34222,0.39682,0.28891,0.83367,0.94249,1.19923,0.006106,0.006106,0.006106
61,14848.9,1.00676,1.08139,1.29824,0.68024,0.34594,0.40592,0.29721,0.82686,0.92003,1.19355,0.00604,0.00604,0.00604
62,15090.5,0.99812,1.07703,1.29791,0.67159,0.34419,0.40755,0.30085,0.81659,0.9187,1.18529,0.005974,0.005974,0.005974
63,15332.1,0.97118,1.04287,1.27409,0.59635,0.37025,0.40114,0.29567,0.81351,0.91148,1.17796,0.005908,0.005908,0.005908
64,15573.9,0.99117,1.04855,1.28863,0.65939,0.35358,0.39263,0.28902,0.82108,0.91336,1.18453,0.005842,0.005842,0.005842
65,15815.7,0.97749,1.04707,1.28135,0.67373,0.35818,0.41339,0.3053,0.8132,0.90967,1.18293,0.005776,0.005776,0.005776
66,16057.4,0.95928,1.03612,1.26849,0.61624,0.39372,0.40164,0.29545,0.79828,0.87179,1.17007,0.00571,0.00571,0.00571
67,16299.1,0.96517,1.02705,1.27401,0.65974,0.36897,0.40395,0.29991,0.79603,0.86249,1.16743,0.005644,0.005644,0.005644
68,16540.7,0.97636,1.01765,1.27662,0.59085,0.38853,0.41645,0.30664,0.78994,0.87393,1.15797,0.005578,0.005578,0.005578
69,16782.6,0.96485,0.99892,1.26163,0.62269,0.39762,0.42922,0.31785,0.78879,0.85585,1.15897,0.005512,0.005512,0.005512
70,17024.5,0.96777,1.01005,1.26581,0.58589,0.41318,0.42742,0.31512,0.78933,0.86342,1.15954,0.005446,0.005446,0.005446
71,17265.7,0.96032,0.99566,1.2679,0.70359,0.36609,0.41338,0.30758,0.77584,0.85548,1.15294,0.00538,0.00538,0.00538
72,17507.3,0.93976,0.98755,1.25126,0.57311,0.42085,0.41209,0.30521,0.77834,0.83608,1.14983,0.005314,0.005314,0.005314
73,17748.8,0.95259,0.99909,1.25348,0.64265,0.37622,0.40974,0.30724,0.77468,0.85197,1.14847,0.005248,0.005248,0.005248
74,17990.4,0.92992,0.96745,1.24723,0.61658,0.41141,0.42561,0.31643,0.77211,0.83832,1.1414,0.005182,0.005182,0.005182
75,18231.8,0.93889,0.96463,1.24528,0.66649,0.38391,0.42548,0.31745,0.76623,0.82629,1.13809,0.005116,0.005116,0.005116
76,18473.4,0.93202,0.97717,1.24165,0.5933,0.40692,0.42955,0.32244,0.76033,0.81918,1.13059,0.00505,0.00505,0.00505
77,18715.1,0.9422,0.98336,1.25228,0.60937,0.39886,0.43063,0.32342,0.7602,0.81432,1.13102,0.004984,0.004984,0.004984
78,18957,0.91464,0.93556,1.22951,0.61199,0.4144,0.42239,0.3147,0.75968,0.8217,1.1332,0.004918,0.004918,0.004918
79,19198.7,0.92695,0.95119,1.24475,0.61061,0.40802,0.4245,0.3168,0.75495,0.81221,1.12937,0.004852,0.004852,0.004852
80,19440.2,0.9112,0.91957,1.2272,0.6049,0.42285,0.42284,0.31437,0.75334,0.79862,1.12638,0.004786,0.004786,0.004786
81,19681.9,0.92177,0.93681,1.23931,0.63175,0.3953,0.42471,0.3163,0.75291,0.79805,1.12849,0.00472,0.00472,0.00472
82,19923.3,0.90615,0.9229,1.23236,0.58131,0.42375,0.42833,0.32059,0.75435,0.8034,1.13116,0.004654,0.004654,0.004654
83,20164.7,0.91197,0.92371,1.22848,0.67542,0.4015,0.43197,0.32371,0.74451,0.79632,1.12093,0.004588,0.004588,0.004588
84,20406.1,0.91423,0.91791,1.2312,0.62659,0.39488,0.44321,0.33433,0.74014,0.78933,1.11906,0.004522,0.004522,0.004522
85,20647.7,0.90569,0.91279,1.23213,0.63278,0.40286,0.4881,0.37072,0.73479,0.77318,1.11287,0.004456,0.004456,0.004456
86,20889.1,0.89055,0.9008,1.20646,0.58535,0.43372,0.44108,0.33124,0.74271,0.77431,1.1157,0.00439,0.00439,0.00439
