epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.96,3.21944,5.22188,4.18979,0.00161,0.10722,0.00145,0.00041,3.12523,22.2355,4.27468,0.00332021,0.00332021,0.00332021
2,797.705,2.74199,4.05933,3.59612,0.56083,0.10767,0.04906,0.01957,2.2797,7.63778,3.20424,0.00662061,0.00662061,0.00662061
3,1199.76,2.1107,3.41693,2.86463,0.16006,0.08378,0.02804,0.01253,2.14898,8.86947,3.00624,0.00988801,0.00988801,0.00988801
4,1592.12,1.82038,2.97832,2.4952,0.30807,0.16252,0.11892,0.06181,1.66386,4.32753,2.49778,0.0098515,0.0098515,0.0098515
5,1983.72,1.62265,2.55281,2.26097,0.30973,0.19208,0.15536,0.08442,1.52708,2.65541,2.31451,0.009802,0.009802,0.009802
6,2374.8,1.53074,2.35142,2.14903,0.30093,0.19855,0.1592,0.08927,1.50321,2.83365,2.25429,0.0097525,0.0097525,0.0097525
7,2766.48,1.47238,2.22292,2.12725,0.37922,0.21224,0.18317,0.1017,1.43459,2.35752,2.22263,0.009703,0.009703,0.009703
8,3156.68,1.39767,2.07022,1.99776,0.34364,0.21829,0.20857,0.12484,1.30044,1.97452,2.01601,0.0096535,0.0096535,0.0096535
9,3549.03,1.35092,1.97323,1.97071,0.59466,0.23901,0.22087,0.1356,1.31062,2.01929,2.03099,0.009604,0.009604,0.009604
10,3941.5,1.31436,1.86076,1.9183,0.54937,0.28317,0.24674,0.16065,1.21686,1.72535,1.90582,0.0095545,0.0095545,0.0095545
11,4333.74,1.33442,1.82985,1.92447,0.60208,0.26504,0.2529,0.16333,1.20288,1.7288,1.89966,0.009505,0.009505,0.009505
12,4724.26,1.2599,1.7261,1.85025,0.43851,0.33082,0.26307,0.17341,1.12364,1.70937,1.79929,0.0094555,0.0094555,0.0094555
13,5114.91,1.25615,1.72066,1.82721,0.53597,0.29169,0.26731,0.17364,1.15853,1.61551,1.835,0.009406,0.009406,0.009406
14,5505.38,1.21963,1.59745,1.80613,0.5078,0.33036,0.28979,0.18678,1.13648,1.51682,1.81746,0.0093565,0.0093565,0.0093565
15,5896.37,1.19229,1.59532,1.77947,0.51332,0.30148,0.27195,0.17599,1.11288,1.59056,1.77355,0.009307,0.009307,0.009307
16,6286.46,1.17477,1.56256,1.75555,0.37429,0.34823,0.29182,0.19458,1.09271,1.41026,1.75425,0.0092575,0.0092575,0.0092575
17,6676.56,1.19167,1.57596,1.76555,0.62948,0.30503,0.30886,0.21098,1.0767,1.38025,1.73407,0.009208,0.009208,0.009208
18,7066.9,1.13652,1.48159,1.72978,0.61413,0.31254,0.30641,0.20915,1.07268,1.34844,1.7197,0.0091585,0.0091585,0.0091585
19,7457.27,1.1412,1.47169,1.7243,0.602,0.32725,0.30574,0.20847,1.04698,1.32681,1.69537,0.009109,0.009109,0.009109
20,7847.35,1.14427,1.45763,1.72333,0.46154,0.38625,0.32846,0.22867,1.0252,1.2574,1.6798,0.0090595,0.0090595,0.0090595
21,8238.18,1.12409,1.40259,1.71096,0.52998,0.35248,0.32336,0.22321,1.00161,1.24775,1.6462,0.00901,0.00901,0.00901
22,8627.5,1.12005,1.42756,1.69709,0.56476,0.37445,0.32929,0.22822,0.99635,1.22337,1.63545,0.0089605,0.0089605,0.0089605
23,9017.2,1.09407,1.34993,1.66855,0.49502,0.36217,0.33143,0.23209,0.98834,1.21652,1.61675,0.008911,0.008911,0.008911
24,9407.34,1.07275,1.32524,1.66757,0.46013,0.36378,0.33228,0.23489,0.97472,1.16946,1.60288,0.0088615,0.0088615,0.0088615
25,9797.89,1.07684,1.29098,1.64827,0.474,0.36052,0.33766,0.23607,0.97452,1.17337,1.59381,0.008812,0.008812,0.008812
26,10190.4,1.04633,1.31217,1.63461,0.59027,0.35488,0.33955,0.23978,0.95526,1.15484,1.57147,0.0087625,0.0087625,0.0087625
27,10582.5,1.0274,1.27428,1.62134,0.58223,0.36581,0.36425,0.25808,0.9436,1.16703,1.57653,0.008713,0.008713,0.008713
28,10974.3,1.06075,1.32811,1.63573,0.47366,0.40003,0.36385,0.2586,0.95243,1.0848,1.56596,0.0086635,0.0086635,0.0086635
29,11365.5,1.0285,1.23381,1.60798,0.6985,0.33038,0.36044,0.25908,0.92619,1.06393,1.53943,0.008614,0.008614,0.008614
30,11756.2,1.0028,1.20882,1.55473,0.59403,0.34279,0.37163,0.27263,0.92106,1.0974,1.53793,0.0085645,0.0085645,0.0085645
31,12146,1.04756,1.27017,1.63034,0.68239,0.34487,0.38155,0.27126,0.91443,1.09665,1.53257,0.008515,0.008515,0.008515
32,12535.5,0.99996,1.19028,1.56674,0.50297,0.36497,0.36433,0.26138,0.92265,1.07103,1.53331,0.0084655,0.0084655,0.0084655
33,12926.7,1.0005,1.17553,1.56228,0.53049,0.37151,0.36935,0.26444,0.89841,1.05775,1.50824,0.008416,0.008416,0.008416
34,13317.6,0.98827,1.16681,1.56476,0.54226,0.38362,0.37921,0.27238,0.89573,1.01057,1.48754,0.0083665,0.0083665,0.0083665
35,13708.7,0.95226,1.15808,1.52208,0.58283,0.3908,0.40379,0.29499,0.89565,1.00318,1.49152,0.008317,0.008317,0.008317
36,14099,0.97501,1.18439,1.5494,0.57344,0.36791,0.43706,0.31978,0.87925,1.01119,1.48673,0.0082675,0.0082675,0.0082675
37,14489,0.96185,1.08422,1.51142,0.69443,0.34401,0.40078,0.29214,0.88732,0.98567,1.48643,0.008218,0.008218,0.008218
38,14880.5,0.94774,1.12458,1.50376,0.5445,0.37379,0.43333,0.31774,0.87828,0.97277,1.48521,0.0081685,0.0081685,0.0081685
39,15271.8,0.94013,1.08236,1.50109,0.54369,0.37779,0.40436,0.29801,0.88147,0.98795,1.48681,0.008119,0.008119,0.008119
40,15662.8,0.95578,1.11217,1.537,0.584,0.35276,0.43314,0.32251,0.85497,0.97632,1.44333,0.0080695,0.0080695,0.0080695
41,16054.8,0.93509,1.09354,1.50557,0.52879,0.39192,0.42784,0.31781,0.83239,0.94087,1.41635,0.00802,0.00802,0.00802
42,16444.9,0.93266,1.06934,1.49413,0.60516,0.37343,0.45677,0.35015,0.83274,0.89859,1.42813,0.0079705,0.0079705,0.0079705
43,16835.1,0.91375,1.05246,1.50297,0.56022,0.4005,0.42971,0.31864,0.83209,0.93072,1.40793,0.007921,0.007921,0.007921
44,17224.4,0.92053,1.06806,1.47156,0.57202,0.39266,0.46092,0.34724,0.82768,0.92472,1.41305,0.0078715,0.0078715,0.0078715
45,17614,0.90432,1.04038,1.47127,0.58622,0.39181,0.45366,0.34742,0.82458,0.92064,1.41058,0.007822,0.007822,0.007822
46,18003.9,0.91269,1.04488,1.49212,0.58527,0.41671,0.46595,0.3536,0.82145,0.91137,1.41209,0.0077725,0.0077725,0.0077725
47,18394.4,0.90279,1.01549,1.46065,0.53365,0.42418,0.47534,0.35759,0.80931,0.86103,1.3887,0.007723,0.007723,0.007723
48,18783.9,0.91369,1.02556,1.45671,0.60361,0.39744,0.46001,0.35001,0.79984,0.88263,1.38476,0.0076735,0.0076735,0.0076735
49,19173.1,0.89556,1.04761,1.46922,0.55365,0.41626,0.46958,0.3554,0.81117,0.89208,1.39028,0.007624,0.007624,0.007624
50,19562.7,0.88037,0.97246,1.43034,0.61399,0.41924,0.49518,0.37146,0.78881,0.83723,1.36509,0.0075745,0.0075745,0.0075745
51,19952.5,0.88758,0.99412,1.45955,0.57686,0.40415,0.46411,0.3477,0.78438,0.85395,1.3587,0.007525,0.007525,0.007525
52,20341.7,0.87027,0.9517,1.43833,0.63669,0.40333,0.4856,0.37021,0.78158,0.83229,1.35259,0.0074755,0.0074755,0.0074755
53,20731.3,0.86144,0.94643,1.41562,0.58322,0.40978,0.47122,0.35618,0.77765,0.86147,1.34345,0.007426,0.007426,0.007426
54,21120.4,0.87376,0.98791,1.43319,0.61481,0.40207,0.47816,0.3651,0.77493,0.83308,1.34913,0.0073765,0.0073765,0.0073765
55,21511.4,0.8535,0.92868,1.40673,0.61638,0.39374,0.4816,0.36343,0.78557,0.84939,1.3571,0.007327,0.007327,0.007327
56,21902,0.84222,0.91194,1.40599,0.6437,0.39521,0.45662,0.34259,0.77205,0.82827,1.34557,0.0072775,0.0072775,0.0072775
57,22292,0.84122,0.92283,1.40781,0.60256,0.43183,0.49886,0.37867,0.76416,0.80955,1.33947,0.007228,0.007228,0.007228
58,22682.5,0.82896,0.95391,1.41237,0.59117,0.44192,0.51088,0.38654,0.7553,0.80662,1.32064,0.0071785,0.0071785,0.0071785
59,23073.4,0.84864,0.93983,1.41928,0.59112,0.42919,0.49198,0.37556,0.75397,0.81635,1.32278,0.007129,0.007129,0.007129
60,23462.8,0.83555,0.92027,1.40134,0.59172,0.42285,0.49286,0.37778,0.74488,0.82698,1.31222,0.0070795,0.0070795,0.0070795
61,23852.4,0.81573,0.91255,1.38029,0.55959,0.44476,0.48906,0.36868,0.74313,0.84038,1.30753,0.00703,0.00703,0.00703
62,24241.5,0.82154,0.86946,1.38524,0.57237,0.45328,0.44993,0.34093,0.73432,0.76445,1.29713,0.0069805,0.0069805,0.0069805
63,24631.8,0.80767,0.8383,1.36777,0.61925,0.42861,0.48224,0.36623,0.74402,0.77144,1.30521,0.006931,0.006931,0.006931
64,25022.1,0.82104,0.86725,1.38592,0.60621,0.43966,0.45682,0.34544,0.74003,0.78142,1.30152,0.0068815,0.0068815,0.0068815
65,25412.5,0.83274,0.88324,1.37601,0.61488,0.44671,0.49094,0.37255,0.73424,0.7743,1.29612,0.006832,0.006832,0.006832
66,25803.1,0.82643,0.89323,1.38957,0.63219,0.43702,0.52067,0.39867,0.72694,0.77919,1.27893,0.0067825,0.0067825,0.0067825
67,26195.3,0.79067,0.8382,1.35321,0.65049,0.41023,0.51472,0.39109,0.71991,0.77619,1.27119,0.006733,0.006733,0.006733
68,26585.9,0.80296,0.8623,1.37239,0.62516,0.44083,0.47842,0.35973,0.7268,0.75161,1.28301,0.0066835,0.0066835,0.0066835
69,26975.4,0.82573,0.87234,1.39389,0.63252,0.43987,0.51684,0.39176,0.72607,0.7622,1.28219,0.006634,0.006634,0.006634
70,27365.1,0.78971,0.81284,1.34445,0.66898,0.42905,0.53104,0.40235,0.71921,0.73684,1.26837,0.0065845,0.0065845,0.0065845
71,27755.3,0.78508,0.85638,1.343,0.65512,0.43067,0.5222,0.40199,0.71655,0.75321,1.2647,0.006535,0.006535,0.006535
72,28146.1,0.79115,0.81764,1.35562,0.59855,0.45384,0.5177,0.39925,0.71506,0.73404,1.26918,0.0064855,0.0064855,0.0064855
73,28538,0.7597,0.77579,1.32531,0.61522,0.45453,0.4939,0.37852,0.70682,0.73235,1.26147,0.006436,0.006436,0.006436
74,28929.5,0.75284,0.78455,1.34059,0.66172,0.43565,0.53465,0.40979,0.70891,0.72716,1.25825,0.0063865,0.0063865,0.0063865
75,29320.5,0.77006,0.83088,1.32944,0.7144,0.43571,0.5256,0.40219,0.71019,0.72898,1.2582,0.006337,0.006337,0.006337
76,29711.1,0.77002,0.80034,1.3187,0.6488,0.44798,0.5264,0.40714,0.69328,0.74993,1.24493,0.0062875,0.0062875,0.0062875
77,30102.2,0.78116,0.78257,1.32423,0.61079,0.46909,0.49351,0.3776,0.68924,0.70696,1.23426,0.006238,0.006238,0.006238
78,30493.5,0.76107,0.78442,1.30563,0.72528,0.43189,0.52781,0.4089,0.69613,0.7217,1.24821,0.0061885,0.0061885,0.0061885
79,30884.5,0.76035,0.79308,1.33456,0.70533,0.43569,0.50186,0.38975,0.69176,0.70611,1.23867,0.006139,0.006139,0.006139
80,31275,0.76154,0.77572,1.3217,0.68185,0.46522,0.52954,0.41077,0.69747,0.73279,1.23814,0.0060895,0.0060895,0.0060895
81,31668.1,0.76201,0.7667,1.32694,0.70834,0.44464,0.54087,0.41925,0.68962,0.70428,1.23428,0.00604,0.00604,0.00604
82,32059.9,0.75821,0.75444,1.3161,0.61665,0.46975,0.54202,0.41963,0.68676,0.69687,1.23226,0.0059905,0.0059905,0.0059905
83,32450.8,0.7223,0.73311,1.28028,0.62447,0.45,0.53669,0.41749,0.68829,0.73318,1.23439,0.005941,0.005941,0.005941
84,32840.9,0.73787,0.77585,1.29624,0.67964,0.45103,0.53299,0.41396,0.68668,0.71665,1.23568,0.0058915,0.0058915,0.0058915
85,33232.3,0.70968,0.70949,1.26501,0.70623,0.4357,0.51432,0.39771,0.67957,0.71541,1.22795,0.005842,0.005842,0.005842
86,33622.8,0.72994,0.75891,1.299,0.67204,0.46575,0.50287,0.38672,0.67471,0.74346,1.21712,0.0057925,0.0057925,0.0057925
87,34013.7,0.73711,0.75607,1.29547,0.61645,0.46734,0.53742,0.41055,0.67569,0.7245,1.21573,0.005743,0.005743,0.005743
88,34404.7,0.72484,0.71565,1.28613,0.69762,0.45986,0.56939,0.4412,0.6663,0.7394,1.20171,0.0056935,0.0056935,0.0056935
89,34796.2,0.74068,0.76222,1.30084,0.56052,0.49083,0.54971,0.42143,0.67312,0.73389,1.21522,0.005644,0.005644,0.005644
90,35188,0.73271,0.75177,1.28951,0.65405,0.48134,0.5571,0.43208,0.66317,0.72098,1.20285,0.0055945,0.0055945,0.0055945
91,35579.3,0.71339,0.71787,1.25365,0.64501,0.46275,0.55622,0.43102,0.65986,0.71169,1.20294,0.005545,0.005545,0.005545
92,35970,0.71112,0.71739,1.26556,0.65942,0.4725,0.55602,0.43422,0.66386,0.70796,1.20881,0.0054955,0.0054955,0.0054955
93,36361.3,0.71965,0.72378,1.27465,0.63336,0.51626,0.56865,0.43563,0.66184,0.71766,1.20335,0.005446,0.005446,0.005446
94,36752.5,0.70606,0.70435,1.25682,0.55878,0.52715,0.56228,0.43698,0.65092,0.70404,1.186,0.0053965,0.0053965,0.0053965
95,37145.9,0.6805,0.71206,1.25666,0.61463,0.47869,0.55858,0.43745,0.65132,0.70975,1.18632,0.005347,0.005347,0.005347
96,37538,0.70564,0.71764,1.26506,0.64092,0.47187,0.55214,0.43143,0.65047,0.75154,1.18124,0.0052975,0.0052975,0.0052975
97,37928.8,0.70177,0.69238,1.27106,0.72472,0.44792,0.56063,0.43881,0.6514,0.7099,1.18645,0.005248,0.005248,0.005248
98,38321.4,0.69306,0.69764,1.25174,0.64673,0.49126,0.53798,0.41559,0.64788,0.72746,1.18615,0.0051985,0.0051985,0.0051985
99,38713.4,0.69393,0.69367,1.24958,0.71945,0.45199,0.56547,0.44334,0.64319,0.71862,1.17668,0.005149,0.005149,0.005149
100,39105.4,0.72065,0.74535,1.27025,0.67725,0.45314,0.57358,0.44925,0.64558,0.70701,1.18552,0.0050995,0.0050995,0.0050995
101,39497.7,0.71212,0.7282,1.2654,0.67376,0.47539,0.5622,0.44016,0.64164,0.71927,1.17944,0.00505,0.00505,0.00505
102,39889.6,0.70753,0.69222,1.26387,0.69836,0.45895,0.56804,0.44401,0.64072,0.72381,1.17529,0.0050005,0.0050005,0.0050005
103,40280.7,0.69476,0.68994,1.25146,0.68429,0.46764,0.56322,0.44271,0.63585,0.69561,1.17526,0.004951,0.004951,0.004951
104,40672.8,0.67579,0.67169,1.238,0.686,0.47348,0.55964,0.43754,0.63811,0.71926,1.17515,0.0049015,0.0049015,0.0049015
105,41064.8,0.68641,0.67446,1.24115,0.63914,0.47672,0.56439,0.44085,0.63213,0.70769,1.16501,0.004852,0.004852,0.004852
106,41457.7,0.70428,0.66188,1.25656,0.68016,0.47403,0.55658,0.43168,0.63613,0.68874,1.16996,0.0048025,0.0048025,0.0048025
107,41848.9,0.67096,0.66792,1.23154,0.64183,0.50594,0.57426,0.45023,0.63371,0.67132,1.17169,0.004753,0.004753,0.004753
108,42238.6,0.67756,0.66271,1.22878,0.67558,0.47804,0.56953,0.44721,0.62992,0.68873,1.164,0.0047035,0.0047035,0.0047035
109,42628,0.69897,0.68067,1.23929,0.67274,0.4742,0.57027,0.44725,0.63123,0.68874,1.16565,0.004654,0.004654,0.004654
110,43017.2,0.68048,0.64898,1.22853,0.67579,0.48139,0.58149,0.45552,0.62603,0.71044,1.15799,0.0046045,0.0046045,0.0046045
111,43407.6,0.693,0.65213,1.23516,0.68806,0.47394,0.55614,0.43274,0.62615,0.7483,1.15657,0.004555,0.004555,0.004555
112,43796.6,0.68543,0.6621,1.24962,0.56062,0.52578,0.54523,0.42178,0.62939,0.7188,1.16078,0.0045055,0.0045055,0.0045055
113,44186.5,0.66754,0.6644,1.22744,0.61293,0.48922,0.57708,0.45404,0.63087,0.71234,1.16119,0.004456,0.004456,0.004456
114,44575,0.66088,0.63523,1.21181,0.61444,0.52394,0.5811,0.45476,0.6259,0.70463,1.15634,0.0044065,0.0044065,0.0044065
115,44964.5,0.65109,0.61964,1.19554,0.51531,0.54945,0.5804,0.44869,0.62338,0.74777,1.15983,0.004357,0.004357,0.004357
116,45353.9,0.6379,0.64231,1.20685,0.62385,0.488,0.57593,0.45447,0.62482,0.71723,1.15821,0.0043075,0.0043075,0.0043075
117,45742.8,0.65034,0.60644,1.19622,0.5936,0.49777,0.57852,0.45604,0.61907,0.70331,1.15364,0.004258,0.004258,0.004258
118,46133.1,0.6641,0.6479,1.21829,0.55384,0.54174,0.58739,0.45525,0.61495,0.72327,1.14712,0.0042085,0.0042085,0.0042085
119,46522.8,0.64084,0.60367,1.20842,0.61606,0.4992,0.59667,0.46765,0.61558,0.70338,1.14907,0.004159,0.004159,0.004159
120,46912,0.64643,0.62378,1.20388,0.62351,0.48244,0.58933,0.45971,0.61329,0.68714,1.14263,0.0041095,0.0041095,0.0041095
121,47301.2,0.64165,0.61922,1.20646,0.6666,0.50777,0.58505,0.45516,0.6138,0.704,1.14282,0.00406,0.00406,0.00406
122,47692,0.63976,0.64711,1.20131,0.54471,0.62141,0.59439,0.46356,0.61503,0.694,1.14417,0.0040105,0.0040105,0.0040105
